9×8 DataFrame
 Row │ parameters  mean       std        naive_se    mcse        ess      rhat     ess_per_sec
     │ Symbol      Float64    Float64    Float64     Float64     Float64  Float64  Float64
─────┼─────────────────────────────────────────────────────────────────────────────────────────
   1 │ α            70.9301    5.54432   0.0619874   0.151922    1324.56  1.00412      27.5893
   2 │ β[1]          3.2586    1.25176   0.0139951   0.021452    3382.98  1.0008       70.4641
   3 │ β[2]        -11.5902    1.24205   0.0138866   0.0229192   3221.01  1.00152      67.0904
   4 │ β[3]          7.19031   1.26691   0.0141645   0.0212411   3486.68  1.00017      72.6241
   5 │ β[4]          1.2292    1.25872   0.0140729   0.0209321   3462.55  1.00082      72.1215
   6 │ σ             6.00084   0.276295  0.00308907  0.00373951  5598.17  1.00015     116.604
   7 │ τ             6.80095  10.8533    0.121344    0.290596    1333.35  1.00354      27.7722
   8 │ αⱼ[1]        -3.69408   5.46842   0.0611388   0.151203    1294.51  1.00427      26.9633
   9 │ αⱼ[2]         3.48534   5.46443   0.0610941   0.152707    1300.57  1.00434      27.0896
