15×8 DataFrame
 Row │ parameters  mean        std       naive_se    mcse        ess       rhat      ess_per_sec
     │ Symbol      Float64     Float64   Float64     Float64     Float64   Float64   Float64
─────┼───────────────────────────────────────────────────────────────────────────────────────────
   1 │ α           70.8662     7.05111   0.0788338   0.167632    1562.74   1.00128       8.95212
   2 │ σ            5.87408    0.26124   0.00292075  0.00390364  5354.71   1.00002      30.6743
   3 │ τₐ           6.26409    5.67725   0.0634736   0.132424    1858.87   1.00072      10.6485
   4 │ τᵦ[1]        6.41136    5.54969   0.0620474   0.194213     693.124  1.00677       3.97053
   5 │ τᵦ[2]        6.01462    5.14783   0.0575545   0.142421    1416.29   1.00214       8.11317
   6 │ αⱼ[1]       -3.53706    5.10246   0.0570472   0.142711    1332.97   1.00063       7.63585
   7 │ αⱼ[2]        3.63623    5.11268   0.0571615   0.143755    1330.09   1.00065       7.61935
   8 │ βⱼ[1,1]      0.251888   0.810363  0.00906013  0.0134701   3599.25   1.00017      20.6182
   9 │ βⱼ[2,1]     -0.932587   1.04589   0.0116934   0.0223825   2193.4    1.00134      12.5648
  10 │ βⱼ[3,1]      0.550215   0.88696   0.00991652  0.0175612   3040.82   1.00065      17.4192
  11 │ βⱼ[4,1]      0.0907195  0.786621  0.00879469  0.0106287   3975.37   0.999828     22.7728
  12 │ βⱼ[1,2]      0.256108   0.796045  0.00890005  0.0131822   3929.01   0.999837     22.5072
  13 │ βⱼ[2,2]     -0.899985   1.04917   0.01173     0.0251456   2070.99   1.00068      11.8636
  14 │ βⱼ[3,2]      0.552352   0.94327   0.0105461   0.0252117   1372.29   1.00242       7.86112
  15 │ βⱼ[4,2]      0.0911885  0.786055  0.00878836  0.0128445   3416.19   1.0014       19.5695
